epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,34086.1,0.64871,0.58746,1.03565,0.91752,0.73911,0.84353,0.69841,0.61402,0.57186,0.48318,0.0002971,0.0002971,0.0002971
73,34568.4,0.65414,0.58448,1.03106,0.93006,0.73355,0.84399,0.6973,0.62597,0.61411,0.48333,0.0002872,0.0002872,0.0002872
74,35052.2,0.6482,0.58647,1.03427,0.92093,0.73422,0.84427,0.70031,0.61766,0.59636,0.4798,0.0002773,0.0002773,0.0002773
75,35531.3,0.65051,0.59386,1.04076,0.91533,0.74153,0.84347,0.6945,0.61224,0.61917,0.4839,0.0002674,0.0002674,0.0002674
76,36013.9,0.64399,0.57718,1.03305,0.91723,0.74286,0.84124,0.69197,0.60419,0.6265,0.48525,0.0002575,0.0002575,0.0002575
77,36491.7,0.63172,0.57628,1.02686,0.919,0.74636,0.84477,0.69123,0.59403,0.59977,0.48068,0.0002476,0.0002476,0.0002476
78,36970.4,0.64334,0.57176,1.02946,0.8956,0.74817,0.8412,0.68523,0.60131,0.6203,0.48284,0.0002377,0.0002377,0.0002377
79,37445.8,0.63367,0.56292,1.02614,0.88332,0.75017,0.83891,0.68003,0.59017,0.61631,0.4783,0.0002278,0.0002278,0.0002278
80,37926.6,0.64382,0.57519,1.03045,0.90406,0.75138,0.84613,0.68779,0.58921,0.59998,0.47835,0.0002179,0.0002179,0.0002179
81,38407.9,0.62645,0.56318,1.02419,0.88178,0.75482,0.84208,0.6856,0.59615,0.62105,0.4809,0.000208,0.000208,0.000208
82,38888.3,0.62865,0.57111,1.02722,0.8799,0.74219,0.8408,0.67948,0.59224,0.6016,0.48114,0.0001981,0.0001981,0.0001981
83,39375.8,0.62558,0.55574,1.02238,0.90957,0.73512,0.84218,0.68066,0.58477,0.57649,0.47985,0.0001882,0.0001882,0.0001882
84,39927.3,0.62043,0.55702,1.02044,0.91385,0.73289,0.84228,0.68489,0.58262,0.5821,0.48174,0.0001783,0.0001783,0.0001783
85,40417.7,0.63301,0.56732,1.02749,0.91403,0.74086,0.84338,0.6866,0.58012,0.56345,0.48328,0.0001684,0.0001684,0.0001684
86,40899.7,0.6388,0.56926,1.02688,0.91367,0.74817,0.84504,0.69263,0.57983,0.57124,0.48373,0.0001585,0.0001585,0.0001585
87,41386.6,0.61463,0.54767,1.01794,0.91464,0.74759,0.84791,0.69407,0.57548,0.55832,0.4819,0.0001486,0.0001486,0.0001486
88,41875.5,0.61768,0.5525,1.02137,0.90852,0.74751,0.8472,0.69747,0.57069,0.54347,0.47974,0.0001387,0.0001387,0.0001387
89,42409.2,0.61547,0.545,1.01873,0.90576,0.75357,0.84822,0.703,0.56754,0.5415,0.47568,0.0001288,0.0001288,0.0001288
90,42898.3,0.62117,0.55418,1.02394,0.90864,0.75548,0.85222,0.7064,0.56946,0.54353,0.47401,0.0001189,0.0001189,0.0001189
91,43358.7,0.61721,0.48966,0.95465,0.917,0.7495,0.85074,0.70984,0.55471,0.51667,0.46532,0.000109,0.000109,0.000109
92,43817.5,0.60818,0.47679,0.94861,0.90134,0.75748,0.85237,0.71087,0.5473,0.49744,0.45888,9.91e-05,9.91e-05,9.91e-05
93,44290,0.60286,0.45663,0.94839,0.92082,0.74153,0.84958,0.71091,0.54541,0.48828,0.45512,8.92e-05,8.92e-05,8.92e-05
94,44762.7,0.59657,0.45424,0.94801,0.9223,0.74134,0.85098,0.71112,0.54376,0.48654,0.45264,7.93e-05,7.93e-05,7.93e-05
95,45233.2,0.60494,0.45998,0.94598,0.91104,0.74853,0.84971,0.71016,0.54136,0.48845,0.451,6.94e-05,6.94e-05,6.94e-05
96,45699.4,0.59127,0.44899,0.9399,0.91439,0.74521,0.84962,0.71017,0.54091,0.4922,0.44937,5.95e-05,5.95e-05,5.95e-05
97,46166.3,0.60021,0.45934,0.95043,0.91637,0.74265,0.84828,0.71062,0.53898,0.49578,0.44806,4.96e-05,4.96e-05,4.96e-05
98,46631,0.58692,0.43838,0.94507,0.91646,0.74485,0.84898,0.7104,0.53729,0.4967,0.44666,3.97e-05,3.97e-05,3.97e-05
99,47098.1,0.58665,0.44567,0.92998,0.91604,0.74671,0.84902,0.71094,0.53674,0.49866,0.446,2.98e-05,2.98e-05,2.98e-05
100,47569.2,0.58494,0.43849,0.93494,0.91228,0.74628,0.84828,0.71067,0.53608,0.49935,0.44558,1.99e-05,1.99e-05,1.99e-05
