epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,13826,1.43685,2.71563,1.86923,0.66732,0.64576,0.69046,0.36183,1.64757,2.70882,1.93742,0.000314051,0.000314051,0.000314051
65,14000.3,1.41872,2.69444,1.84824,0.73809,0.61,0.70258,0.35963,1.65793,2.73204,1.9414,0.000309017,0.000309017,0.000309017
66,14174.6,1.41954,2.67889,1.84848,0.72631,0.62345,0.70711,0.37215,1.63048,2.66767,1.93045,0.000303958,0.000303958,0.000303958
67,14350.1,1.39417,2.64555,1.82346,0.6783,0.66826,0.71113,0.37796,1.61755,2.5938,1.90889,0.000298877,0.000298877,0.000298877
68,14525.6,1.41752,2.69199,1.85031,0.69212,0.64893,0.70831,0.36854,1.63183,2.63485,1.9277,0.000293775,0.000293775,0.000293775
69,14699.9,1.39354,2.62968,1.83455,0.64036,0.6642,0.69981,0.36967,1.62692,2.6656,1.93873,0.000288656,0.000288656,0.000288656
70,14874.5,1.40144,2.62596,1.83466,0.68987,0.65427,0.70964,0.37682,1.62383,2.65347,1.9284,0.00028352,0.00028352,0.00028352
71,15049.6,1.38865,2.56723,1.82767,0.73056,0.63354,0.70906,0.37268,1.6466,2.58909,1.92808,0.000278371,0.000278371,0.000278371
72,15223.6,1.39003,2.61381,1.83317,0.66384,0.67233,0.70505,0.36815,1.64667,2.64983,1.94885,0.00027321,0.00027321,0.00027321
73,15398.5,1.38102,2.59858,1.82053,0.71878,0.64565,0.71749,0.37154,1.65383,2.59292,1.97279,0.000268041,0.000268041,0.000268041
74,15573.1,1.37965,2.56549,1.81864,0.69458,0.64547,0.69627,0.35296,1.67668,2.65562,1.9542,0.000262864,0.000262864,0.000262864
75,15747.7,1.37463,2.5565,1.81642,0.67166,0.67372,0.7198,0.3767,1.6233,2.59918,1.93349,0.000257683,0.000257683,0.000257683
76,15923.1,1.36933,2.49957,1.81229,0.70868,0.64874,0.70905,0.36478,1.66511,2.66201,1.94734,0.0002525,0.0002525,0.0002525
77,16097.4,1.35626,2.50585,1.79054,0.70879,0.64515,0.69644,0.35818,1.71582,2.67091,1.99225,0.000247317,0.000247317,0.000247317
78,16271.9,1.36664,2.50949,1.80591,0.69395,0.6657,0.7179,0.37397,1.65732,2.58669,1.94327,0.000242136,0.000242136,0.000242136
79,16446.1,1.37262,2.53613,1.80832,0.71012,0.63703,0.70708,0.36695,1.65231,2.62528,1.94815,0.000236959,0.000236959,0.000236959
80,16620,1.37077,2.51858,1.80503,0.74395,0.64935,0.72524,0.38753,1.62254,2.5085,1.9245,0.00023179,0.00023179,0.00023179
81,16795.9,1.36004,2.4842,1.80004,0.6693,0.7085,0.72338,0.38555,1.62734,2.5167,1.92355,0.000226629,0.000226629,0.000226629
82,17000.8,1.35296,2.42916,1.78989,0.69937,0.70596,0.7458,0.3955,1.60595,2.49366,1.91393,0.00022148,0.00022148,0.00022148
83,17343.5,1.34562,2.41808,1.78372,0.6971,0.6801,0.73363,0.38469,1.62595,2.54341,1.94893,0.000216344,0.000216344,0.000216344
84,17587.4,1.3396,2.42198,1.78089,0.71161,0.68942,0.74611,0.39377,1.61528,2.45532,1.92103,0.000211225,0.000211225,0.000211225
85,17763,1.34627,2.39693,1.78545,0.73044,0.68091,0.73793,0.39329,1.60255,2.46641,1.91349,0.000206123,0.000206123,0.000206123
86,17939.2,1.33993,2.38943,1.78307,0.74396,0.67219,0.74656,0.39502,1.61354,2.42793,1.94679,0.000201042,0.000201042,0.000201042
87,18113.7,1.32609,2.39168,1.7698,0.69599,0.67312,0.72736,0.38437,1.61913,2.50558,1.91104,0.000195983,0.000195983,0.000195983
88,18288.1,1.34075,2.39072,1.78453,0.7508,0.6681,0.74511,0.39158,1.62117,2.46992,1.91879,0.000190949,0.000190949,0.000190949
89,18461.9,1.33244,2.36806,1.76552,0.69117,0.68224,0.73923,0.39604,1.60142,2.48614,1.90114,0.000185942,0.000185942,0.000185942
90,18656.6,1.32574,2.34232,1.76832,0.72918,0.66427,0.73045,0.39003,1.6197,2.50535,1.92573,0.000180965,0.000180965,0.000180965
91,18834.9,1.33473,2.37482,1.76822,0.70692,0.69501,0.74162,0.39551,1.61632,2.49696,1.92504,0.000176018,0.000176018,0.000176018
92,19227.7,1.32124,2.32252,1.76018,0.75167,0.65613,0.73676,0.3922,1.62121,2.49349,1.92572,0.000171106,0.000171106,0.000171106
93,19418.4,1.30886,2.31066,1.75407,0.72487,0.6732,0.73663,0.38605,1.62247,2.49819,1.92926,0.000166228,0.000166228,0.000166228
94,19594.7,1.29242,2.28033,1.73889,0.74422,0.67803,0.74763,0.40641,1.59249,2.4065,1.90183,0.000161389,0.000161389,0.000161389
95,19772.4,1.31402,2.28555,1.75223,0.71487,0.68507,0.74028,0.40276,1.58774,2.44031,1.90756,0.00015659,0.00015659,0.00015659
96,19948,1.29149,2.26059,1.73665,0.75448,0.66865,0.74564,0.40319,1.59763,2.41249,1.91587,0.000151833,0.000151833,0.000151833
97,20123.9,1.29623,2.21771,1.73916,0.75178,0.66387,0.74446,0.4025,1.57759,2.4193,1.89033,0.00014712,0.00014712,0.00014712
